SkillName,Price,bids,is_urgent,is_fulltime,is_bold,is_private
برنامه نویسی تحت وب,3000000,50,1,0,1,0
فوتوشاپ (Photoshop),500000,9,0,0,0,0
HTML,15000000,14,1,0,1,0
سی اس اس (CSS),15000000,14,1,0,1,0
برنامه نویسی تحت وب,15000000,14,1,0,1,0
سئو (SEO),500000,24,0,0,0,0
وردپرس (WordPress),500000,24,0,0,0,0
نوشتن توضیحات محصول,500000,24,0,0,0,0
 ورود اطلاعات و ثبت داده ها (Data Entry - دیتا اینتری),500000,24,0,0,0,0
تولید محتوا,500000,24,0,0,0,0
طراحی تبلیغات,1000000,25,1,0,0,0
طراحی بروشور,1000000,25,1,0,0,0
طراحی بسته بندی,1000000,25,1,0,0,0
طراحی گرافیک,1000000,25,1,0,0,0
طراحی اینفوگرافیک,1000000,25,1,0,0,0
پایتون (Python),600000,24,0,0,0,0
Web Scraping,600000,24,0,0,0,0
برنامه نویسی و ساخت اپلیکیشن اندروید (Android),50000000,14,1,0,0,0
طراحی سایت,50000000,14,1,0,0,0
ios mobile,50000000,14,1,0,0,0
برنامه نویسی بک اند (Back-End),50000000,14,1,0,0,0
برنامه نویسی سی (C),1000000,9,0,0,0,0
برنامه نویسی و ساخت اپلیکیشن اندروید (Android),1000000,9,0,0,0,0
هوش مصنوعی (AI),1000000,9,0,0,0,0
سئو (SEO),50000000,34,0,1,0,0
نقشه کشی صنعتی,500000,1,0,0,0,0
Metatrader,800000,4,1,0,0,0
تایپ,5000000,63,0,0,0,0
طراحی تبلیغات,200000,32,0,0,0,0
طراحی پوستر,200000,32,0,0,0,0
قالب,200000,32,0,0,0,0
طراحی پست و استوری اینستاگرام,200000,32,0,0,0,0
مای اسکیوال (MySQL),1500000,21,0,0,0,0
پی اچ پی (PHP),1500000,21,0,0,0,0
سی اس اس (CSS),1500000,21,0,0,0,0
برنامه نویسی تحت وب,1500000,21,0,0,0,0
مای اسکیوال (MySQL),750000,13,0,0,0,0
پی اچ پی (PHP),750000,13,0,0,0,0
سی اس اس (CSS),750000,13,0,0,0,0
